RA,DEC,AKR_ID,HSC_ID,Gm,Gme,Rm,Rme,Im,Ime,Zm,Zme,Ym,Yme,N2m,N2me,N3m,N3me,N4m,N4me,S7m,S7me,S9m,S9me,S11m,S11me,L15m,L15me,L18m,L18me,L24m,L24me,sum_y,y_pred
269.4112854,65.2375336,68180,79218056139659793,22.137,0.002,21.706,0.004,21.512,0.005,21.338,0.008,21.094,0.01,19.523,0.055,18.857,0.033,18.672,0.033,,,,,,,,,,,,,21,1
269.4122314,65.2625275,11326,79218056139662237,21.63,0.001,20.983,0.002,20.952,0.003,20.811,0.004,20.766,0.006,19.439,0.065,18.956,0.041,18.842,0.033,18.932,0.122,,,18.5,0.135,,,,,,,21,1
269.566864,65.3417969,133117,79218056139672677,20.075,0.001,20.089,0.001,19.975,0.001,19.751,0.001,19.885,0.002,19.164,0.048,18.723,0.028,18.521,0.023,17.492,0.047,,,17.154,0.049,16.809,0.064,16.616,0.047,17.064,0.135,21,1
269.5017395,65.3584595,96614,79218056139674079,22.296,0.002,22.004,0.004,21.692,0.005,21.572,0.011,21.501,0.015,20.229,0.076,19.723,0.057,19.549,0.044,,,,,,,,,,,,,21,1
270.43008419999995,65.4112625,47809,79217785556716837,22.433000000000003,0.002,21.846,0.003,21.373,0.003,21.203000000000007,0.005,21.108,0.006999999999999999,20.065,0.1,19.481,0.057,19.251,0.049,18.884,0.128,17.805999999999994,0.08900000000000001,17.913,0.091,17.917,0.127,18.48,0.135,,,21,1
268.9492798,65.4111862,47684,79218197873580922,22.698,0.003,22.094,0.005,21.429,0.005,21.018,0.006999999999999999,20.796,0.01,19.813,0.073,19.872,0.054000000000000006,19.443,0.066,,,,,,,17.706,0.111,18.148,0.128,,,21,1
269.8983459,65.20917510000001,133294,79217918700702669,22.277,0.004,20.807,0.003,20.195,0.004,19.878,0.006,19.476,0.009000000000000001,18.371,0.028,17.945,0.017,17.754,0.013,17.070999999999998,0.03,16.057000000000002,0.023,16.537,0.03,16.996,0.058,16.467,0.034,16.035,0.065,11,1
269.91745,65.27327729999999,89224,79217918700711413,22.875,0.003,22.683000000000003,0.006,22.048,0.006999999999999999,21.753,0.011,21.67,0.013,20.487,0.084,19.978,0.06,20.062,0.059,,,,,,,,,,,,,12,1
269.9527588,65.3091278,40813,79217918700716885,21.278,0.001,20.863000000000003,0.001,21.053,0.002,20.731,0.004,20.602,0.004,20.335,0.084,20.022,0.062,20.014,0.065,19.223,0.138,,,18.416,0.115,,,,,,,21,1
268.4514465,65.37004089999999,67211,79218472751482888,24.073,0.009000000000000001,23.667,0.019,23.428,0.027000000000000003,23.211,0.045,22.947,0.048,20.229,0.119,19.947,0.078,19.87,0.077,,,,,,,,,,,,,21,1
