,precision,recall,thresholds
0,0.1016949152542373,1.0,0.062
1,0.09803921568627451,0.8333333333333334,0.064
2,0.10416666666666667,0.8333333333333334,0.066
3,0.10638297872340426,0.8333333333333334,0.07
4,0.1111111111111111,0.8333333333333334,0.072
5,0.09523809523809523,0.6666666666666666,0.074
6,0.0975609756097561,0.6666666666666666,0.076
7,0.10810810810810811,0.6666666666666666,0.08
8,0.1111111111111111,0.6666666666666666,0.084
9,0.11428571428571428,0.6666666666666666,0.086
10,0.11764705882352941,0.6666666666666666,0.088
11,0.12121212121212122,0.6666666666666666,0.09
12,0.13333333333333333,0.6666666666666666,0.092
13,0.13793103448275862,0.6666666666666666,0.094
14,0.14285714285714285,0.6666666666666666,0.096
15,0.14814814814814814,0.6666666666666666,0.1
16,0.15384615384615385,0.6666666666666666,0.108
17,0.16,0.6666666666666666,0.116
18,0.16666666666666666,0.6666666666666666,0.118
19,0.17391304347826086,0.6666666666666666,0.12
20,0.18181818181818182,0.6666666666666666,0.122
21,0.14285714285714285,0.5,0.124
22,0.15789473684210525,0.5,0.126
23,0.17647058823529413,0.5,0.13
24,0.2,0.5,0.132
25,0.21428571428571427,0.5,0.14
26,0.23076923076923078,0.5,0.146
27,0.25,0.5,0.152
28,0.2727272727272727,0.5,0.16
29,0.3,0.5,0.162
30,0.3333333333333333,0.5,0.164
31,0.375,0.5,0.18
32,0.2857142857142857,0.3333333333333333,0.204
33,0.16666666666666666,0.16666666666666666,0.232
34,0.2,0.16666666666666666,0.272
35,0.25,0.16666666666666666,0.312
36,0.3333333333333333,0.16666666666666666,0.326
37,0.5,0.16666666666666666,0.35
38,0.0,0.0,0.482
39,1.0,0.0,9999.0
