,precision,recall,thresholds
0,0.0975609756097561,1.0,0.004
1,0.09565217391304348,0.9166666666666666,0.006
2,0.10185185185185185,0.9166666666666666,0.008
3,0.11,0.9166666666666666,0.01
4,0.11578947368421053,0.9166666666666666,0.012
5,0.11827956989247312,0.9166666666666666,0.014
6,0.12087912087912088,0.9166666666666666,0.016
7,0.12790697674418605,0.9166666666666666,0.018
8,0.13414634146341464,0.9166666666666666,0.022
9,0.14102564102564102,0.9166666666666666,0.024
10,0.14473684210526316,0.9166666666666666,0.028
11,0.14864864864864866,0.9166666666666666,0.03
12,0.14084507042253522,0.8333333333333334,0.032
13,0.14492753623188406,0.8333333333333334,0.034
14,0.14925373134328357,0.8333333333333334,0.036
15,0.15384615384615385,0.8333333333333334,0.038
16,0.15625,0.8333333333333334,0.04
17,0.16129032258064516,0.8333333333333334,0.042
18,0.1694915254237288,0.8333333333333334,0.044
19,0.1724137931034483,0.8333333333333334,0.046
20,0.17543859649122806,0.8333333333333334,0.048
21,0.18181818181818182,0.8333333333333334,0.05
22,0.18518518518518517,0.8333333333333334,0.052
23,0.19230769230769232,0.8333333333333334,0.054
24,0.19607843137254902,0.8333333333333334,0.056
25,0.20408163265306123,0.8333333333333334,0.06
26,0.2127659574468085,0.8333333333333334,0.062
27,0.2222222222222222,0.8333333333333334,0.068
28,0.22727272727272727,0.8333333333333334,0.07
29,0.21428571428571427,0.75,0.072
30,0.21951219512195122,0.75,0.074
31,0.225,0.75,0.076
32,0.23684210526315788,0.75,0.078
33,0.24324324324324326,0.75,0.082
34,0.22857142857142856,0.6666666666666666,0.09
35,0.23529411764705882,0.6666666666666666,0.092
36,0.24242424242424243,0.6666666666666666,0.096
37,0.25806451612903225,0.6666666666666666,0.098
38,0.27586206896551724,0.6666666666666666,0.106
39,0.2962962962962963,0.6666666666666666,0.108
40,0.3076923076923077,0.6666666666666666,0.122
41,0.32,0.6666666666666666,0.124
42,0.3333333333333333,0.6666666666666666,0.13
43,0.34782608695652173,0.6666666666666666,0.136
44,0.36363636363636365,0.6666666666666666,0.138
45,0.38095238095238093,0.6666666666666666,0.142
46,0.4,0.6666666666666666,0.144
47,0.42105263157894735,0.6666666666666666,0.148
48,0.375,0.5,0.15
49,0.4,0.5,0.156
50,0.42857142857142855,0.5,0.164
51,0.5,0.5,0.182
52,0.5454545454545454,0.5,0.218
53,0.5,0.4166666666666667,0.232
54,0.5714285714285714,0.3333333333333333,0.234
55,0.6666666666666666,0.3333333333333333,0.238
56,0.6,0.25,0.244
57,0.5,0.16666666666666666,0.248
58,0.5,0.08333333333333333,0.258
59,1.0,0.08333333333333333,0.312
60,1.0,0.0,9999.0
