,precision,recall,thresholds
0,0.10084033613445378,1.0,0.006
1,0.10091743119266056,0.9166666666666666,0.008
2,0.102803738317757,0.9166666666666666,0.01
3,0.10576923076923077,0.9166666666666666,0.012
4,0.11,0.9166666666666666,0.014
5,0.11578947368421053,0.9166666666666666,0.016
6,0.12359550561797752,0.9166666666666666,0.018
7,0.13253012048192772,0.9166666666666666,0.02
8,0.13414634146341464,0.9166666666666666,0.022
9,0.13924050632911392,0.9166666666666666,0.024
10,0.14473684210526316,0.9166666666666666,0.026
11,0.14666666666666667,0.9166666666666666,0.028
12,0.14864864864864866,0.9166666666666666,0.03
13,0.1506849315068493,0.9166666666666666,0.032
14,0.1388888888888889,0.8333333333333334,0.034
15,0.14285714285714285,0.8333333333333334,0.036
16,0.14925373134328357,0.8333333333333334,0.038
17,0.15625,0.8333333333333334,0.04
18,0.15873015873015872,0.8333333333333334,0.042
19,0.16393442622950818,0.8333333333333334,0.044
20,0.16666666666666666,0.8333333333333334,0.046
21,0.1724137931034483,0.8333333333333334,0.048
22,0.17543859649122806,0.8333333333333334,0.05
23,0.18181818181818182,0.8333333333333334,0.052
24,0.18518518518518517,0.8333333333333334,0.054
25,0.18867924528301888,0.8333333333333334,0.058
26,0.2,0.8333333333333334,0.06
27,0.20408163265306123,0.8333333333333334,0.066
28,0.1956521739130435,0.75,0.068
29,0.20454545454545456,0.75,0.07
30,0.20930232558139536,0.75,0.072
31,0.21951219512195122,0.75,0.074
32,0.23076923076923078,0.75,0.076
33,0.24324324324324326,0.75,0.08
34,0.2571428571428571,0.75,0.088
35,0.25,0.6666666666666666,0.098
36,0.25806451612903225,0.6666666666666666,0.102
37,0.27586206896551724,0.6666666666666666,0.108
38,0.2857142857142857,0.6666666666666666,0.112
39,0.2962962962962963,0.6666666666666666,0.116
40,0.3076923076923077,0.6666666666666666,0.12
41,0.32,0.6666666666666666,0.122
42,0.3333333333333333,0.6666666666666666,0.124
43,0.30434782608695654,0.5833333333333334,0.126
44,0.3181818181818182,0.5833333333333334,0.128
45,0.3333333333333333,0.5833333333333334,0.138
46,0.3157894736842105,0.5,0.152
47,0.3333333333333333,0.5,0.154
48,0.35294117647058826,0.5,0.158
49,0.375,0.5,0.16
50,0.4,0.5,0.162
51,0.42857142857142855,0.5,0.176
52,0.46153846153846156,0.5,0.184
53,0.5,0.5,0.188
54,0.45454545454545453,0.4166666666666667,0.2
55,0.5,0.4166666666666667,0.22
56,0.5555555555555556,0.4166666666666667,0.224
57,0.625,0.4166666666666667,0.228
58,0.7142857142857143,0.4166666666666667,0.23
59,0.6666666666666666,0.3333333333333333,0.248
60,0.8,0.3333333333333333,0.26
61,0.75,0.25,0.276
62,1.0,0.25,0.278
63,1.0,0.16666666666666666,0.31
64,1.0,0.08333333333333333,0.312
65,1.0,0.0,9999.0
