,precision,recall,thresholds
0,0.09395973154362416,1.0,0.0
1,0.10476190476190476,0.7857142857142857,0.002
2,0.1134020618556701,0.7857142857142857,0.004
3,0.10752688172043011,0.7142857142857143,0.006
4,0.11235955056179775,0.7142857142857143,0.008
5,0.10975609756097561,0.6428571428571429,0.01
6,0.11842105263157894,0.6428571428571429,0.012
7,0.12162162162162163,0.6428571428571429,0.014
8,0.125,0.6428571428571429,0.016
9,0.13432835820895522,0.6428571428571429,0.018
10,0.13846153846153847,0.6428571428571429,0.02
11,0.12903225806451613,0.5714285714285714,0.022
12,0.1206896551724138,0.5,0.024
13,0.1111111111111111,0.42857142857142855,0.028
14,0.11320754716981132,0.42857142857142855,0.03
15,0.12244897959183673,0.42857142857142855,0.032
16,0.125,0.42857142857142855,0.034
17,0.13043478260869565,0.42857142857142855,0.036
18,0.13636363636363635,0.42857142857142855,0.038
19,0.13953488372093023,0.42857142857142855,0.044
20,0.14634146341463414,0.42857142857142855,0.046
21,0.15384615384615385,0.42857142857142855,0.05
22,0.16216216216216217,0.42857142857142855,0.052
23,0.14705882352941177,0.35714285714285715,0.054
24,0.15151515151515152,0.35714285714285715,0.056
25,0.15625,0.35714285714285715,0.058
26,0.16666666666666666,0.35714285714285715,0.06
27,0.1724137931034483,0.35714285714285715,0.062
28,0.14285714285714285,0.2857142857142857,0.066
29,0.14814814814814814,0.2857142857142857,0.07
30,0.16,0.2857142857142857,0.074
31,0.16666666666666666,0.2857142857142857,0.076
32,0.17391304347826086,0.2857142857142857,0.078
33,0.18181818181818182,0.2857142857142857,0.082
34,0.19047619047619047,0.2857142857142857,0.086
35,0.2,0.2857142857142857,0.092
36,0.21052631578947367,0.2857142857142857,0.094
37,0.2222222222222222,0.2857142857142857,0.098
38,0.23529411764705882,0.2857142857142857,0.108
39,0.25,0.2857142857142857,0.11
40,0.2,0.21428571428571427,0.114
41,0.21428571428571427,0.21428571428571427,0.116
42,0.23076923076923078,0.21428571428571427,0.122
43,0.25,0.21428571428571427,0.124
44,0.2727272727272727,0.21428571428571427,0.13
45,0.3,0.21428571428571427,0.144
46,0.3333333333333333,0.21428571428571427,0.166
47,0.375,0.21428571428571427,0.18
48,0.42857142857142855,0.21428571428571427,0.192
49,0.3333333333333333,0.14285714285714285,0.198
50,0.4,0.14285714285714285,0.216
51,0.25,0.07142857142857142,0.268
52,0.0,0.0,0.276
53,0.0,0.0,0.474
54,0.0,0.0,0.642
55,1.0,0.0,9999.0
